Unnamed: 0,Time in ms,M0 in meter,MF231 in A
429,21.45,0.0004351381835937501,0.1
430,21.5,0.00043756005859375016,0.1
431,21.55,0.0004399838867187501,0.1
432,21.6,0.00044240966796875,0.1
433,21.65,0.0004448369140625001,0.1
434,21.7,0.00044726611328125,0.1
435,21.75,0.0004496967773437501,0.1
436,21.8,0.0004521289062500001,0.1
437,21.85,0.0004545625000000001,0.1
438,21.9,0.00045699755859375,0.1
439,21.95,0.0004594340820312501,0.1
440,22.0,0.00046187109375,0.1
441,22.05,0.0004643095703125001,0.1
442,22.1,0.0004667490234375001,0.1
443,22.15,0.000469189453125,0.1
444,22.2,0.000471630859375,0.1
445,22.25,0.0004740727539062501,0.1
446,22.3,0.0004765156250000001,0.1
447,22.35,0.0004789594726562501,0.1
448,22.4,0.0004814033203125,0.1
449,22.45,0.0004838481445312501,0.1
450,22.5,0.00048629296875000007,0.1
451,22.55,0.00048873828125,0.1
452,22.6,0.0004911845703125,0.1
453,22.65,0.00049363037109375,0.1
454,22.7,0.0004960771484375001,0.1
455,22.75,0.0004985234375,0.1
456,22.8,0.0005009702148437501,0.1
457,22.85,0.0005034169921875,0.1
458,22.9,0.0005058637695312501,0.1
459,22.95,0.000508310546875,0.1
460,23.0,0.0005107573242187501,0.1
461,23.05,0.0005132036132812501,0.1
462,23.1,0.00051564990234375,0.1
463,23.15,0.00051809619140625,0.1
464,23.2,0.0005205415039062501,0.1
465,23.25,0.00052298681640625,0.1
466,23.3,0.000525431640625,0.1
467,23.35,0.0005278759765625,0.1
468,23.4,0.0005303193359375001,0.1
469,23.45,0.0005327622070312501,0.1
470,23.5,0.0005352045898437501,0.1
471,23.55,0.00053764599609375,0.1
472,23.6,0.00054008642578125,0.1
473,23.65,0.00054252587890625,0.1
474,23.7,0.00054496435546875,0.1
475,23.75,0.0005474018554687501,0.1
476,23.8,0.0005498383789062501,0.1
477,23.85,0.0005522734375,0.1
478,23.9,0.0005547070312500001,0.1
479,23.95,0.0005571396484375001,0.1
480,24.0,0.0005595703125000001,0.1
481,24.05,0.0005620000000000001,0.1
482,24.1,0.0005644277343750001,0.1
483,24.15,0.0005668540039062501,0.1
484,24.2,0.0005692788085937501,0.1
485,24.25,0.0005717016601562501,0.1
486,24.3,0.0005741225585937501,0.1
487,24.35,0.00057654150390625,0.1
488,24.4,0.0005789589843750001,0.1
489,24.45,0.0005813740234375,0.1
490,24.5,0.000583787109375,0.1
491,24.55,0.00058619775390625,0.1
492,24.6,0.00058860693359375,0.1
493,24.65,0.00059101318359375,0.1
494,24.7,0.00059341748046875,0.1
495,24.75,0.0005958193359375001,0.1
496,24.8,0.0005982187500000001,0.1
497,24.85,0.00060061572265625,0.1
498,24.9,0.0006030097656250001,0.1
499,24.95,0.0006054013671875001,0.1
500,25.0,0.00060779052734375,0.1
501,25.05,0.0006101767578125001,0.1
502,25.1,0.00061256005859375,0.1
503,25.15,0.0006149404296875001,0.1
504,25.2,0.0006173178710937501,0.1
505,25.25,0.0006196923828125,0.1
506,25.3,0.0006220634765625,0.1
507,25.35,0.000624431640625,0.1
508,25.4,0.0006267963867187501,0.1
509,25.45,0.0006291582031250001,0.1
510,25.5,0.0006315161132812501,0.1
511,25.55,0.00063387060546875,0.1
512,25.6,0.0006362216796875,0.1
513,25.65,0.0006385693359375001,0.1
514,25.7,0.0006409125976562501,0.1
515,25.75,0.0006432529296875,0.1
516,25.8,0.0006455888671875001,0.1
517,25.85,0.0006479213867187501,0.1
518,25.9,0.00065024951171875,0.1
519,25.95,0.0006525737304687501,0.1
520,26.0,0.00065489404296875,0.1
521,26.05,0.0006572099609375001,0.1
522,26.1,0.0006595219726562501,0.1
523,26.15,0.0006618295898437501,0.1
524,26.2,0.0006641328125000001,0.1
525,26.25,0.0006664316406250001,0.1
526,26.3,0.0006687260742187501,0.1
527,26.35,0.0006710161132812501,0.1
528,26.4,0.00067330126953125,0.1
529,26.45,0.0006755820312500001,0.1
530,26.5,0.0006778583984375,0.1
531,26.55,0.00068012939453125,0.1
532,26.6,0.00068239599609375,0.1
533,26.65,0.0006846572265625001,0.1
534,26.7,0.0006869140625000001,0.1
535,26.75,0.0006891655273437501,0.1
536,26.8,0.0006914121093750001,0.1
537,26.85,0.0006936533203125001,0.1
538,26.9,0.0006958896484375001,0.1
539,26.95,0.0006981206054687501,0.1
540,27.0,0.00070034619140625,0.1
541,27.05,0.0007025664062500001,0.1
542,27.1,0.0007047812500000001,0.1
543,27.15,0.0007069902343750001,0.1
544,27.2,0.0007091938476562501,0.1
545,27.25,0.0007113920898437501,0.1
546,27.3,0.0007135839843750001,0.1
547,27.35,0.0007157705078125001,0.1
548,27.4,0.0007179511718750001,0.1
549,27.45,0.0007201259765625001,0.1
550,27.5,0.00072229443359375,0.1
551,27.55,0.0007244570312500001,0.1
552,27.6,0.0007266137695312501,0.1
553,27.65,0.00072876416015625,0.1
554,27.7,0.0007309082031250001,0.1
555,27.75,0.0007330458984375001,0.1
556,27.8,0.00073517724609375,0.1
557,27.85,0.0007373022460937501,0.1
558,27.9,0.0007394208984375,0.1
559,27.95,0.0007415327148437501,0.1
560,28.0,0.00074363818359375,0.1
561,28.05,0.0007457368164062501,0.1
562,28.1,0.0007478286132812501,0.1
563,28.15,0.0007499135742187501,0.1
564,28.2,0.0007519916992187501,0.1
565,28.25,0.0007540629882812501,0.1
566,28.3,0.0007561274414062501,0.1
567,28.35,0.0007581845703125001,0.1
568,28.4,0.0007602348632812501,0.1
569,28.45,0.00076227734375,0.1
570,28.5,0.0007643129882812501,0.1
571,28.55,0.0007663413085937501,0.1
572,28.6,0.0007683623046875001,0.1
573,28.65,0.0007703759765625,0.1
574,28.7,0.0007723818359375,0.1
575,28.75,0.0007743803710937501,0.1
576,28.8,0.00077637109375,0.1
577,28.85,0.0007783544921875,0.1
578,28.9,0.0007803295898437501,0.1
579,28.95,0.0007822973632812501,0.1
580,29.0,0.0007842568359375001,0.1
581,29.05,0.0007862084960937501,0.1
582,29.1,0.0007881523437500001,0.1
583,29.15,0.000790087890625,0.1
584,29.2,0.0007920156250000001,0.1
585,29.25,0.0007939350585937501,0.1
586,29.3,0.0007958461914062501,0.1
587,29.35,0.0007977490234375001,0.1
588,29.4,0.0007996435546875001,0.1
589,29.45,0.0008015292968750001,0.1
590,29.5,0.00080340673828125,0.1
591,29.55,0.0008052758789062501,0.1
592,29.6,0.0008071362304687501,0.1
593,29.65,0.0008089877929687501,0.1
594,29.7,0.00081083056640625,0.1
595,29.75,0.0008126645507812501,0.1
596,29.8,0.0008144897460937501,0.1
597,29.85,0.0008163061523437501,0.1
598,29.9,0.00081811328125,0.1
599,29.95,0.0008199116210937501,0.1
