Time,M0,M14
42.700000,2048000,0
42.750000,2048000,0
42.800000,2048000,0
42.850000,2048000,0
42.900000,2048000,0
42.950000,2048000,0
43.000000,2048000,0
43.050000,2048000,0
43.100000,2048000,0
43.150000,2048000,0
43.200000,2048000,0
43.250000,2048000,0
43.300000,2048000,0
43.350000,2048000,0
43.400000,2048000,0
43.450000,2048000,0
43.500000,2048000,0
43.550000,2048000,0
43.600000,2048000,0
43.650000,2048000,0
43.700000,2048000,0
43.750000,2048000,0
43.800000,2048000,0
43.850000,2048000,0
43.900000,2048000,0
43.950000,2048000,0
44.000000,2048000,0
44.050000,2048000,0
44.100000,2048000,0
44.150000,2048000,0
44.200000,2048000,0
44.250000,2048000,0
44.300000,2048000,0
44.350000,2048000,0
44.400000,2048000,0
44.450000,2048000,0
44.500000,2048000,0
44.550000,2048000,0
44.600000,2048000,0
44.650000,2048000,0
44.700000,2048000,0
44.750000,2048000,0
44.800000,2048000,0
44.850000,2048000,0
44.900000,2048000,0
44.950000,2048000,0
45.000000,2048000,0
45.050000,2048000,0
45.100000,2048000,0
45.150000,2048000,0
45.200000,2048000,0
45.250000,2048000,0
45.300000,2048000,0
45.350000,2048000,0
45.400000,2048000,0
45.450000,2048000,0
45.500000,2048000,0
45.550000,2048000,0
45.600000,2048000,0
45.650000,2048000,0
45.700000,2048000,0
45.750000,2048000,0
45.800000,2048000,0
45.850000,2048000,0
45.900000,2048000,0
45.950000,2048000,0
46.000000,2048000,0
46.050000,2048000,0
46.100000,2048000,0
46.150000,2048000,0
46.200000,2048000,0
46.250000,2048000,0
46.300000,2048000,0
46.350000,2048000,0
46.400000,2048000,0
46.450000,2048000,0
46.500000,2048000,0
46.550000,2048000,0
46.600000,2048000,0
46.650000,2048000,0
46.700000,2048000,0
46.750000,2048000,0
46.800000,2048000,0
46.850000,2048000,0
46.900000,2048000,0
46.950000,2048000,0
47.000000,2048000,0
47.050000,2048000,0
47.100000,2048000,0
47.150000,2048000,0
47.200000,2048000,0
47.250000,2048000,0
47.300000,2048000,0
47.350000,2048000,0
47.400000,2048000,0
47.450000,2048000,0
47.500000,2048000,0
47.550000,2048000,0
47.600000,2048000,0
47.650000,2048000,0
47.700000,2048000,0
47.750000,2048000,0
47.800000,2048000,0
47.850000,2048000,0
47.900000,2048000,0
47.950000,2048000,0
48.000000,2048000,0
48.050000,2048000,0
48.100000,2048000,0
48.150000,2048000,0
48.200000,2048000,0
48.250000,2048000,0
48.300000,2048000,0
48.350000,2048000,0
48.400000,2048000,0
48.450000,2048000,0
48.500000,2048000,0
48.550000,2048000,0
48.600000,2048000,0
48.650000,2048000,0
48.700000,2048000,0
48.750000,2048000,0
48.800000,2048000,0
48.850000,2048000,0
48.900000,2048000,0
48.950000,2048000,0
49.000000,2048000,0
49.050000,2048000,0
49.100000,2048000,0
49.150000,2048000,0
49.200000,2048000,0
49.250000,2048000,0
49.300000,2048000,0
49.350000,2048000,0
49.400000,2048000,0
49.450000,2048000,0
49.500000,2048000,0
49.550000,2048000,0
49.600000,2048000,0
49.650000,2048000,0
49.700000,2048000,0
49.750000,2048000,0
49.800000,2048000,0
49.850000,2048000,0
49.900000,2048000,0
49.950000,2048000,0
